agen1,agen2,jarak
Babakan Tengah,Margajaya,3.2
Situ Gede,Margajaya,2.7
Semplak,Margajaya,4
Semplak,Tanah Sereal,5.4
Margajaya,Sindang Barang Raya,3.2
Margajaya,Tanah Sereal,7
Sindang Barang Raya,Sindang Barang Loji,0.65
Sindang Barang Raya,Ciomas,3.4
Sindang Barang Loji,Gunung Batu,2.1
Ciomas,Gunung Batu,2.9
Sindang Barang Loji,Jenderal Sudirman,5.1
Gunung Batu,Pasar Anyar,3.4
Jenderal Sudirman,Tanah Sereal,3.1
Jenderal Sudirman,Warung Jambu,3.8
Warung Jambu,Tanah Sereal,3.6
Pasar Anyar,Jenderal Sudirman,1.7
